bairro_origem,bairro_destino,logradouro,observacao,peso
Coqueiral,Jardim Sao Paulo,R. Aprigio Guimaraes+Av. Padre Ibiapina,1rua+1av,3.0
Coqueiral,Sancho,R. Aprigio Guimaraes,1rua,2.0
Coqueiral,Tejipio,R. Aprigio Guimaraes,1rua,2.0
Coqueiral,Toto,R. Paulino de Farias,1rua,2.0
Curado,Jardim Sao Paulo,BR-101,1br,0.5
Curado,Sancho,Av. Liberdade,1av,1.0
Curado,Tejipio,Av. Liberdade,1av,1.0
Curado,Toto,Av. Liberdade,1av,1.0
Jardim Sao Paulo,Sancho,Av. Liberdade,1av,1.0
Jardim Sao Paulo,Tejipio,R. Leandro Barreto,1rua,2.0
Jardim Sao Paulo,Toto,Av. Liberdade,1av,1.0
Sancho,Tejipio,R. Aprigio Guimaraes,1rua,2.0
Sancho,Toto,Av. Liberdade+R. Leao Treze,1av+1rua,3.0
Tejipio,Toto,R. Paulino de Farias,1rua,2.0
Boa Viagem,Brasilia Teimosa, Av. Conselheiro Aguiar+R. Franca Pereira+Av. Boa Viagem+ R. Dr. Vicente Gomes+ Av. Visc. De Jequitinhonha, 2av + 2ruas, 6.0 
Boa Viagem,Imbiribeira, R. Barao de Souza Leao+R. Projetada+Av. Mal. Mascarenhas de Morais, 1av + 2ruas, 5.0
Boa Viagem,Ipsep, R. Barao de Souza Leao+R. Projetada+Av. Mal. Mascarenhas de Morais+R. Dr. Tavares Correia+R. Rio Amazonas+R. Rio Itororo+R. Rio Tocantins+R. Blumenau+R. Itanage, 1av + 8ruas, 9.0
Boa Viagem,Pina, R. Pereira da Costa+Av. Conselheiro Aguiar+R. Setubal+R. Dr. Vicente Gomes+Av. Visc. de Jequitinhonha, 2av + 3ruas, 7.0
Boa Viagem,Ibura, Av. Mal. Mascarenhas de Moraes+Av. Recife+R. General San Martin, 2av + 1rua, 4.0
Boa Viagem,Jordao, Av. Mal. Mascarenhas de Moraes+Av. Recife+Av. Jardim Jordão, 3av, 3.0
Boa Viagem,Cohab, Av. Mal. Mascarenhas de Moraes+Av. Recife+Av. Herculano Bandeira+PE-008, 3av + 1pe, 3.5
Brasilia Teimosa,Imbiribeira, Av. Eng. Domingos Ferreira+Av. Mal. Mascarenhas de Moraes, 2av, 2.0
Brasilia Teimosa,Ipsep, Av. Eng. Domingos Ferreira+Av. Mal. Mascarenhas de Moraes+R. Rio Amazonas, 2av + 1rua, 4.0
Brasilia Teimosa,Pina, Av. Herculano Bandeira, 1av, 1.0
Brasilia Teimosa,Ibura, Av. Eng. Domingos Ferreira+Av. Mal. Mascarenhas de Moraes+Av. Recife, 3av, 3.0
Brasilia Teimosa,Jordao, Av. Eng. Domingos Ferreira+Av. Mal. Mascarenhas de Moraes+Av. Recife+Av. Jardim Jordão, 4av, 4.0
Brasilia Teimosa,Cohab, Av. Eng. Domingos Ferreira+Av. Mal. Mascarenhas de Moraes+Av. Recife+PE-008, 3av + 1pe, 3.5
Imbiribeira,Ipsep, R. Jean Emile Favre+R. Dr. Tavares Correia, 2ruas, 4.0
Imbiribeira,Pina, Av. Mal. Mascarenhas de Moraes+Av. Herculano Bandeira, 2av, 2.0
Imbiribeira,Ibura, Av. Mal. Mascarenhas de Moraes+Av. Recife, 2av, 2.0
Imbiribeira,Jordao, Av. Mal. Mascarenhas de Moraes+Av. Recife+Av. Jardim Jordão, 3av, 3.0
Imbiribeira,Cohab, Av. Mal. Mascarenhas de Moraes+Av. Recife+PE-008, 2av + 1pe, 2.5
Ipsep,Pina, Av. Mal. Mascarenhas de Moraes+Av. Herculano Bandeira, 2av, 2.0
Ipsep,Ibura, Av. Recife+R. do Espinheiro, 1av + 1rua, 3.0
Ipsep,Jordao, Av. Recife+Av. Jardim Jordão, 2av, 2.0
Ipsep,Cohab, Av. Recife+PE-008, 1av + 1pe, 1.5
Pina,Ibura, Av. Herculano Bandeira+Av. Mal. Mascarenhas de Moraes+Av. Recife, 3av, 3.0
Pina,Jordao, Av. Herculano Bandeira+Av. Mal. Mascarenhas de Moraes+Av. Recife+Av. Jardim Jordão, 4av, 4.0
Pina,Cohab, Av. Herculano Bandeira+Av. Mal. Mascarenhas de Moraes+Av. Recife+PE-008, 3av + 1pe, 3.5
Ibura,Jordao, Av. Recife+Av. Jardim Jordão, 2av, 2.0
Ibura,Cohab, Av. Recife+PE-008, 1av + 1pe, 1.5
Jordao,Cohab, Av. Jardim Jordão+PE-008, 1av + 1pe, 1.5
,,,,
